#{"t_start": 1593766403.9627311, "env_id": null}
r,l,t
2.95534,100,23.772074
2.583609,100,23.878251
2.679203,100,23.982447
4.670622,100,24.08706
2.367362,100,24.190854
3.229562,100,24.29416
2.493083,100,24.397706
2.510221,100,24.501671
2.343929,100,24.605588
2.621741,100,24.708122
2.889646,100,25.435064
2.094369,100,25.540628
2.511809,100,25.642766
3.753061,100,25.746667
3.326371,100,25.850782
2.38264,100,25.953953
2.903205,100,26.056504
2.72022,100,26.159823
3.1773,100,26.264745
2.641565,100,26.367167
2.58447,100,49.008631
2.912472,100,49.112404
2.962033,100,49.21637
2.170374,100,49.319371
2.368498,100,49.421151
2.768648,100,49.519933
2.696899,100,49.624064
2.374871,100,49.727835
2.929122,100,49.833456
2.634511,100,49.934955
2.321511,100,50.104886
3.284253,100,50.207469
3.101124,100,50.30933
3.406197,100,50.41321
2.838744,100,50.516065
3.170107,100,50.620094
3.210545,100,50.723218
1.556514,100,50.827078
3.044646,100,50.931442
2.210972,100,51.0356
2.616533,100,73.855692
3.236537,100,73.959335
4.034803,100,74.061853
3.953345,100,74.16544
2.971389,100,74.27027
2.912436,100,74.373396
2.938701,100,74.476367
3.471906,100,74.579238
4.163924,100,74.682516
2.987658,100,74.785324
2.386449,100,74.95523
3.285159,100,75.058559
3.767313,100,75.162748
2.786997,100,75.265928
2.687324,100,75.368796
3.665117,100,75.4722
2.244637,100,75.575157
3.158885,100,75.679957
3.009103,100,75.782776
5.501671,100,75.888571
2.625785,100,98.543416
3.29924,100,98.6468
3.415897,100,98.747309
4.782477,100,98.853366
3.173993,100,98.956059
3.497954,100,99.059029
3.241151,100,99.162751
4.857106,100,99.265556
3.012105,100,99.368706
3.355053,100,99.471369
3.252672,100,99.641615
2.852818,100,99.743449
2.71056,100,99.848139
2.870524,100,99.951653
3.05651,100,100.054874
3.438842,100,100.157011
2.924942,100,100.260035
3.294453,100,100.360636
3.661644,100,100.463381
3.750881,100,100.563298
4.938982,100,123.245899
2.625546,100,123.348165
2.809935,100,123.45016
1.795929,100,123.551626
3.562318,100,123.654772
2.671857,100,123.757911
2.676043,100,123.862021
3.251957,100,123.963637
3.074583,100,124.06374
3.08045,100,124.161679
3.719045,100,124.329547
4.590163,100,124.431324
3.333955,100,124.534612
4.850606,100,124.635665
3.361268,100,124.738662
4.778396,100,124.842875
3.472427,100,124.947038
3.338088,100,125.050809
3.272324,100,125.153713
4.672594,100,125.256105
4.75108,100,147.913934
3.621934,100,148.018837
3.705324,100,148.121128
3.757462,100,148.224759
3.189978,100,148.328995
3.563076,100,148.431414
9.199601,100,148.534755
8.377271,100,148.638089
5.569108,100,148.740792
3.591551,100,148.847881
2.9562,100,149.019564
2.944641,100,149.121792
5.24398,100,149.226233
3.60575,100,149.331042
4.903634,100,149.434954
7.032489,100,149.539411
3.435214,100,149.643739
3.505647,100,149.746048
3.182021,100,149.849465
6.851255,100,149.949211
3.162132,100,172.802009
3.068589,100,172.902979
2.901973,100,173.005109
3.194142,100,173.108322
4.206991,100,173.213187
3.326387,100,173.316976
2.988731,100,173.420276
3.897647,100,173.52397
3.072163,100,173.627132
2.648803,100,173.730402
3.644971,100,173.899988
3.413881,100,174.003405
5.221084,100,174.107235
4.266219,100,174.210875
4.606749,100,174.314962
3.317096,100,174.418372
3.44605,100,174.52022
3.147377,100,174.621577
5.606288,100,174.725459
4.385249,100,174.828987
3.391977,100,197.483118
8.156787,100,197.58684
3.39721,100,197.688835
3.7003,100,197.794358
3.925118,100,197.897141
5.63264,100,198.00002
4.921154,100,198.103404
3.519776,100,198.207036
4.217604,100,198.308644
3.007744,100,198.410613
5.159239,100,198.580684
6.784229,100,198.683743
3.263412,100,198.788013
4.042865,100,198.891449
6.753606,100,198.995639
4.776666,100,199.101969
3.859894,100,199.206717
3.249689,100,199.31007
3.159964,100,199.414327
6.322676,100,199.519134
5.709363,100,222.09453
5.63938,100,222.19892
7.219073,100,222.302042
3.621803,100,222.406345
3.508131,100,222.510237
3.455453,55,222.566268
5.414818,100,222.669903
2.063126,40,222.711683
3.349276,100,222.815639
4.554652,100,222.91989
4.734933,100,223.020394
4.098144,100,223.183512
3.298476,100,223.286316
4.030444,100,223.390287
4.013987,100,223.494437
5.552173,100,223.598152
5.082843,100,223.702204
3.414201,100,223.805711
3.013113,100,223.909101
6.421508,100,224.011525
7.51721,100,224.115063
4.148247,100,246.587461
5.063853,100,246.690786
3.878262,100,246.792151
4.635754,100,246.895057
4.011519,100,246.998509
5.885834,100,247.105209
3.615526,100,247.207008
8.664809,100,247.309663
3.235206,100,247.410182
7.760415,100,247.512856
3.441555,100,247.67974
3.438372,100,247.780211
3.985045,100,247.882114
6.7542,100,247.982485
4.099148,100,248.083021
4.815014,100,248.183623
6.819182,100,248.281769
5.226064,100,248.380928
4.496559,100,248.480529
3.968095,100,248.577976
8.528942,100,271.279834
9.839051,100,271.381752
5.015084,100,271.484859
4.658707,100,271.586933
3.717304,100,271.687929
3.936996,100,271.78896
6.802823,100,271.893097
3.157257,100,271.995761
4.716731,100,272.100966
8.440685,95,272.19692
3.779354,100,272.363985
4.025788,100,272.466031
5.104372,100,272.56934
6.149856,78,272.64827
3.937286,100,272.750982
5.14241,100,272.853928
3.743565,100,272.957644
4.126731,100,273.059698
4.091971,100,273.16343
5.895969,100,273.266112
4.878087,100,295.602709
3.88873,100,295.705627
4.735515,100,295.80766
3.898722,100,295.910784
3.628277,100,296.013727
5.140245,100,296.117326
8.648222,100,296.220223
4.906038,100,296.322368
6.695604,100,296.428201
4.30041,100,296.530539
4.387515,100,296.699696
3.568779,100,296.801923
7.887194,100,296.903996
5.375938,100,297.007986
5.336568,100,297.11029
3.879981,100,297.211878
6.553072,100,297.312973
4.05868,100,297.415463
7.316596,100,297.519219
4.576863,100,297.620287
6.847674,100,320.000788
7.282419,100,320.101954
5.033033,100,320.203116
3.961494,100,320.305489
6.162678,100,320.407357
7.057027,100,320.50929
4.915978,100,320.609329
4.587143,100,320.71086
7.684583,100,320.809394
4.682653,100,320.909381
4.940325,100,321.075501
4.15277,100,321.178144
7.27429,100,321.279562
8.646595,100,321.381574
4.36121,100,321.483314
7.086181,100,321.585953
6.682636,100,321.688098
7.961374,100,321.790584
6.562453,100,321.893445
8.743333,100,321.995981
6.310453,100,344.363024
8.992109,100,344.464535
4.38679,100,344.565308
5.78599,100,344.664964
5.759288,100,344.767566
6.288129,100,344.870274
3.697822,100,344.973974
3.504732,100,345.077309
9.377771,100,345.18021
5.47675,100,345.28705
8.702718,100,345.457102
7.422678,100,345.558622
4.478133,100,345.661679
9.156974,100,345.765028
4.510586,100,345.866969
6.658138,100,345.969029
4.410102,100,346.070897
6.68365,100,346.174608
4.275477,100,346.278116
5.575083,100,346.381009
7.083103,100,368.829512
6.952002,100,368.933123
9.661922,100,369.035289
5.53921,100,369.137428
9.409223,100,369.242187
4.810488,100,369.345167
5.524257,100,369.446955
5.375042,100,369.548703
8.612623,100,369.652504
4.995072,100,369.753108
6.236539,100,369.918866
7.594182,100,370.021379
7.183041,100,370.12383
4.336389,100,370.227438
5.138102,100,370.331959
4.07017,100,370.434457
10.329742,100,370.538823
10.188007,100,370.641867
9.42706,100,370.744165
6.742865,100,370.847956
5.691424,100,393.327775
9.387265,100,393.430157
4.622027,100,393.532741
9.875225,100,393.634707
9.572926,100,393.737041
5.117672,100,393.842929
5.131223,100,393.944883
6.496708,100,394.048089
8.948256,100,394.149142
4.68331,100,394.247929
4.736041,100,394.414428
4.455215,100,394.515924
4.551362,100,394.615436
5.308639,100,394.7175
8.550334,100,394.820373
4.745034,100,394.923027
5.222665,100,395.026096
4.172189,100,395.127296
