#{"t_start": 1593766407.3440812, "env_id": null}
r,l,t
2.853566,100,20.853653
2.66325,100,20.95602
2.661566,100,21.059232
3.620442,100,21.166518
3.138867,100,21.269463
2.296732,100,21.373339
2.648959,100,21.475564
3.288176,100,21.578827
2.544243,100,21.681627
2.273604,100,21.784482
2.640412,100,22.500007
3.534007,91,22.593843
19.648823,100,22.700225
1.752681,100,22.804008
3.267894,100,22.906976
2.809822,100,23.010797
2.506314,100,23.114155
2.485041,100,23.21767
2.335251,100,23.321575
2.807666,100,23.424883
2.939622,100,45.81909
2.419683,100,45.922623
2.563646,100,46.026297
1.859173,100,46.129325
2.606701,100,46.233821
3.077359,100,46.33759
2.644916,100,46.442424
2.582125,100,46.546461
3.102759,100,46.650862
3.997198,100,46.754929
3.046975,100,46.925335
2.549424,100,47.031335
2.584055,100,47.135421
2.152968,100,47.239089
3.107208,100,47.34368
2.906212,100,47.447653
3.09166,100,47.550977
5.010374,74,47.627235
2.818026,100,47.73093
3.369896,100,47.834564
3.067448,100,70.412398
2.825704,100,70.515507
1.837586,100,70.616632
3.549397,100,70.719548
3.227607,100,70.822
2.682778,100,70.925366
17.302085,100,71.029168
3.009257,100,71.131407
3.787305,100,71.23441
2.899129,100,71.336997
2.479056,100,71.503587
2.657619,100,71.606928
5.465107,100,71.710457
3.144643,100,71.813387
3.011688,100,71.916138
2.634277,100,72.01959
5.655821,100,72.122623
3.183022,100,72.224981
2.758406,100,72.329576
2.010661,59,72.390461
3.226811,100,94.730898
2.636791,100,94.83374
3.469365,100,94.937948
2.279313,100,95.039747
3.202491,100,95.142211
3.164595,100,95.244471
2.809058,100,95.347018
4.431258,100,95.448934
3.046124,100,95.55197
11.840899,100,95.654854
4.556605,100,95.821233
2.171517,100,95.923999
1.76488,27,95.952246
3.34492,100,96.055042
4.285957,100,96.157522
3.733025,100,96.259376
2.801961,100,96.362249
3.029669,100,96.464665
3.092381,100,96.567346
2.36207,100,96.669999
4.3394,100,96.772199
4.253226,100,118.55867
2.904133,100,118.661054
4.996828,100,118.763887
2.433829,58,118.823542
3.457417,100,118.925903
4.743823,100,119.028904
3.704097,100,119.131041
3.431438,100,119.23347
4.237348,100,119.337171
3.910648,100,119.439402
5.799522,100,119.604861
3.484855,100,119.707291
2.264107,38,119.746535
3.731088,100,119.850158
3.351498,47,119.89872
3.715218,100,120.002029
3.490109,100,120.104691
3.428839,100,120.207506
3.236416,55,120.26451
3.608247,100,120.367772
5.263577,100,120.47043
4.862968,100,120.573698
2.679939,100,142.772437
3.708459,100,142.875542
4.228109,100,142.97788
21.564479,100,143.081103
2.831612,100,143.184132
9.411879,100,143.286926
2.857335,100,143.390956
3.356287,100,143.493781
4.772619,100,143.597334
6.037308,100,143.699861
3.003312,100,143.865641
5.958744,100,143.968552
2.762819,47,144.016821
3.544384,100,144.120489
3.767914,100,144.224148
3.176111,100,144.327171
3.114342,64,144.393566
2.643378,100,144.497557
3.000155,100,144.600862
3.647578,100,144.70435
3.519125,100,144.80754
3.241092,100,167.070623
3.559671,100,167.173082
3.84083,100,167.277251
2.838163,100,167.380186
2.966848,100,167.482271
3.380613,100,167.584244
3.427048,100,167.685321
3.345382,100,167.78783
2.639045,100,167.890117
6.39174,100,167.992379
6.050562,99,168.157332
3.496943,100,168.26015
2.843965,100,168.363124
3.466254,100,168.465908
16.809921,100,168.568788
3.22566,100,168.67071
2.688905,100,168.773617
2.974361,100,168.87639
3.068099,56,168.93422
3.842209,100,169.038033
3.327738,100,191.100803
6.020392,100,191.202111
7.486223,100,191.30533
4.051587,100,191.408758
3.074385,100,191.511694
3.616644,100,191.614309
2.692221,100,191.715942
3.111104,100,191.818985
3.22776,100,191.92273
3.187118,100,192.025365
12.281995,100,192.18679
3.655427,100,192.288956
3.22468,100,192.391421
3.258498,100,192.494372
5.838397,100,192.597116
2.496327,38,192.636649
3.349308,100,192.740798
3.586458,100,192.84278
4.3071,100,192.945963
4.083874,100,193.048527
3.804602,100,193.151351
5.243536,100,215.106942
3.96988,100,215.209321
2.466656,51,215.262174
3.623951,100,215.364658
4.939575,100,215.468134
3.659383,100,215.570953
2.859746,100,215.673547
4.097426,100,215.776589
