#{"t_start": 1593766403.9906635, "env_id": null}
r,l,t
2.628634,100,23.852179
3.065481,100,23.956487
3.119948,100,24.062048
1.785164,100,24.168162
3.217858,100,24.272063
2.474985,100,24.376048
2.538701,100,24.480342
2.656896,100,24.584278
2.939067,100,24.689783
2.967231,100,24.794837
2.623455,100,25.528139
1.603892,100,25.63167
6.746239,100,25.737474
2.743515,100,25.840929
3.109,100,25.945166
2.754273,100,26.04894
2.066482,100,26.153988
3.911256,100,26.259244
2.360769,100,26.364556
7.875074,100,26.468273
3.36934,100,48.583674
2.899483,100,48.686602
2.378384,100,48.789761
2.40034,100,48.89254
3.632536,100,48.994107
3.015123,100,49.095729
2.79427,100,49.197807
2.6268,100,49.299169
3.250241,100,49.40071
2.991846,100,49.498487
2.490063,100,49.667849
2.966463,100,49.769767
2.677882,100,49.87243
2.858684,100,49.975289
2.250371,100,50.077586
2.659136,100,50.180387
2.005037,100,50.281636
2.050327,100,50.381058
2.22726,100,50.481888
3.266036,100,50.583796
2.861936,100,73.046254
2.348098,100,73.149196
3.142234,100,73.251074
2.05423,100,73.351596
2.632644,100,73.453735
2.524604,100,73.556267
3.345537,100,73.658687
3.141612,100,73.761054
2.385673,100,73.863948
2.963313,100,73.967279
2.253659,100,74.136385
2.499983,100,74.238676
2.51642,100,74.340812
2.270023,100,74.443266
2.743976,100,74.544832
2.237225,100,74.64802
3.143121,100,74.749102
2.820504,100,74.849767
2.675156,100,74.951852
2.264451,100,75.054574
2.411382,100,97.430428
2.660908,100,97.532962
2.365404,100,97.636216
2.487683,100,97.737589
2.406038,100,97.840563
2.462053,100,97.944696
2.863125,100,98.046729
2.101994,100,98.148885
2.554948,100,98.251561
2.49219,100,98.353482
2.36322,100,98.519641
2.824218,100,98.620917
2.29485,100,98.722977
2.518523,100,98.827752
3.111008,100,98.930895
3.588894,100,99.033438
2.549245,100,99.135245
2.680396,100,99.235653
3.03591,100,99.338839
4.04242,100,99.440477
1.714164,100,121.971772
3.020509,100,122.073799
2.478044,100,122.176793
2.867719,100,122.27957
3.800829,100,122.38308
2.089834,100,122.48424
2.13212,100,122.587198
2.449439,100,122.690428
3.150721,100,122.793793
2.747177,100,122.896539
2.614303,100,123.057903
2.947352,100,123.157369
2.45967,100,123.259878
7.328808,100,123.363003
2.727045,100,123.465022
2.676567,100,123.566533
2.888961,100,123.670304
3.210516,100,123.774069
2.408057,100,123.878111
1.863155,100,123.979078
3.324564,100,146.117628
2.198465,100,146.220435
2.77649,100,146.321945
2.872735,100,146.424715
2.965749,100,146.52708
2.423261,100,146.630844
9.940557,100,146.733973
11.333381,100,146.83683
2.952595,100,146.940646
3.254533,100,147.042782
3.449173,100,147.210731
2.859427,100,147.312932
4.397316,100,147.416603
3.281111,100,147.519818
2.615702,100,147.623282
7.55016,100,147.730179
2.601053,100,147.83404
2.855447,100,147.937243
2.749988,100,148.040625
2.803687,100,148.142196
3.208097,100,170.391631
2.918668,100,170.494028
2.570736,100,170.596118
3.145177,100,170.699522
1.759834,100,170.802685
3.004103,100,170.90631
2.399628,100,171.009212
3.550702,100,171.111594
3.073759,100,171.21213
2.485663,100,171.312227
2.934702,100,171.478554
4.530752,100,171.581244
4.34334,100,171.684956
3.504272,100,171.788443
3.604065,100,171.890576
2.881881,100,171.992698
3.602004,100,172.094884
3.056344,100,172.196567
1.704766,100,172.299234
4.470601,100,172.401954
3.843641,100,193.872556
9.931258,100,193.97599
3.569938,100,194.080094
4.57242,100,194.185366
4.246704,100,194.287473
4.289633,67,194.356422
5.035379,100,194.460279
7.936999,100,194.563574
3.892255,100,194.666035
3.212871,100,194.769745
6.243551,100,194.939757
4.287045,100,195.041881
3.806632,100,195.144383
4.292051,100,195.248542
1.955098,36,195.286226
2.761598,100,195.390252
3.524614,100,195.493784
3.590533,100,195.597488
3.495663,100,195.701412
1.686904,37,195.739976
3.156012,100,195.842509
4.452519,100,195.945127
4.276626,100,217.503207
3.613104,100,217.605582
7.50358,100,217.708808
3.408031,100,217.811144
4.309994,100,217.914294
2.131477,34,217.950763
3.206565,100,218.05444
4.722619,100,218.159734
2.439527,100,218.261413
5.49792,100,218.362817
2.892782,100,218.53242
2.846612,100,218.634563
4.749013,83,218.719056
4.209974,100,218.819563
6.516832,100,218.925058
5.097009,100,219.028976
3.568823,100,219.133134
7.552551,100,219.238822
2.584627,41,219.281016
3.826582,100,219.384061
3.51875,100,219.487027
3.675564,100,241.06097
5.181515,100,241.164564
4.10817,100,241.269098
5.528812,100,241.373279
3.615267,100,241.477152
2.148721,35,241.514477
4.16105,100,241.620136
8.6325,100,241.722913
4.075111,100,241.826224
3.400434,100,241.930166
4.200185,100,242.097262
10.21944,100,242.196943
3.169968,100,242.298994
5.335159,100,242.402246
5.55661,100,242.506093
3.971438,100,242.609535
5.102349,100,242.712351
3.773933,100,242.818354
3.48744,100,242.921904
9.504826,100,243.026259
10.321105,100,243.13026
4.170856,100,265.202669
3.837386,100,265.307703
4.357159,100,265.412587
7.626971,100,265.516857
4.232951,100,265.621701
7.32019,100,265.724746
2.54617,51,265.777539
4.216078,100,265.881914
3.712238,100,265.985904
5.792141,100,266.090721
7.734837,100,266.259682
4.146623,100,266.363604
4.197309,100,266.467874
3.72803,100,266.571988
4.135274,100,266.676398
3.286023,100,266.780694
6.623632,100,266.885451
3.969845,100,266.991324
3.524415,100,267.094433
3.252323,100,267.199978
3.611546,100,288.387777
3.404395,100,288.491326
5.001143,100,288.593899
3.076293,63,288.658115
5.611681,100,288.758445
6.107897,100,288.86158
4.094194,100,288.963771
5.550831,100,289.066376
3.68179,100,289.170678
3.386319,58,289.231222
6.715262,100,289.333481
3.745973,100,289.505368
4.079957,100,289.608371
7.975192,55,289.666577
4.143197,100,289.769595
6.596897,100,289.873941
5.719323,100,289.976443
9.250288,100,290.080184
5.190602,100,290.184992
8.164515,100,290.289142
4.648995,100,290.391837
5.043894,100,311.7
9.146621,100,311.802735
3.14296,100,311.90354
5.067995,100,312.006112
6.548441,100,312.112572
4.967811,100,312.215899
4.689139,100,312.318681
4.792687,100,312.423571
7.782923,100,312.525777
2.007463,33,312.559847
3.940544,100,312.728954
6.401602,100,312.832019
5.430462,100,312.936105
6.441114,100,313.039365
5.61363,100,313.14467
7.884077,100,313.248724
2.231493,36,313.285635
5.234621,100,313.387767
2.063955,39,313.428532
4.741828,100,313.532609
4.791232,100,313.636756
3.143774,100,313.741259
4.488347,100,334.581719
4.260446,100,334.687133
2.375046,40,334.72876
7.166117,100,334.834229
19.376599,100,334.938531
5.707018,100,335.042111
4.467157,100,335.147407
26.556839,100,335.25091
1.966816,31,335.283272
5.620529,100,335.387066
5.049619,100,335.490936
4.185454,100,335.657603
4.898365,100,335.761655
6.576336,100,335.86538
8.36889,100,335.968776
5.070551,100,336.072001
4.596204,100,336.177207
1.725599,32,336.210389
4.827296,100,336.316312
2.606964,42,336.360238
4.105591,100,336.464825
4.753682,100,336.568846
4.734856,100,336.674672
4.955905,100,357.409717
5.927016,100,357.513352
9.076251,100,357.618463
8.474071,100,357.723488
5.204216,100,357.82636
5.034731,100,357.930841
4.358938,100,358.033376
27.915948,100,358.132225
25.479241,100,358.237011
10.069118,100,358.340586
6.016812,100,358.511726
5.081333,100,358.615475
4.908113,100,358.717147
10.149281,100,358.819871
5.679267,100,358.923897
10.301962,100,359.027901
1.719948,35,359.064235
4.649932,100,359.167942
5.067629,100,359.271197
5.715028,100,359.37424
