#{"t_start": 1593766407.357062, "env_id": null}
r,l,t
2.51044,100,20.752833
2.645396,100,20.856233
2.669716,100,20.958414
2.474894,100,21.060489
2.189279,100,21.162956
3.438616,100,21.266288
3.37685,100,21.369808
2.264896,100,21.472697
2.559158,100,21.574756
2.939196,100,21.678409
2.712927,100,22.398309
22.63211,100,22.501784
18.035816,100,22.60538
1.767456,100,22.710615
2.637214,100,22.813837
2.964123,100,22.919379
3.247599,100,23.022074
3.222067,100,23.124778
2.448436,100,23.227858
2.075764,100,23.330842
2.856145,100,45.77188
2.571564,100,45.87449
2.807148,100,45.977071
2.60345,100,46.079386
3.125562,100,46.181717
2.920854,100,46.285734
2.960489,100,46.388583
2.331122,100,46.490853
2.534681,100,46.593109
2.362708,100,46.695119
2.669849,100,46.862719
2.767789,100,46.969456
2.516006,100,47.073827
2.515249,100,47.177005
2.670376,100,47.279823
2.690276,100,47.381855
3.652096,100,47.485258
2.038144,100,47.58758
2.961152,100,47.690457
6.017537,100,47.79196
3.297796,100,70.051525
2.523049,100,70.153537
2.99015,100,70.257645
2.488368,100,70.358591
2.856955,100,70.461571
2.545621,100,70.563246
2.938066,100,70.665447
2.623027,100,70.768185
2.289562,100,70.87007
2.329637,100,70.972007
26.529291,100,71.138903
5.244507,100,71.240613
2.747818,100,71.342916
3.671386,100,71.445369
2.2253,100,71.547768
3.163586,100,71.649688
4.993082,100,71.756214
3.102318,100,71.858217
3.26105,100,71.961638
13.763345,100,72.063031
2.66315,100,94.318823
2.710584,100,94.421358
2.182355,100,94.523624
1.872036,32,94.556728
3.328451,100,94.659835
5.201614,100,94.762031
3.314497,100,94.863798
2.59907,100,94.965743
2.88533,100,95.067773
3.17099,100,95.170805
4.298897,78,95.250784
4.638779,100,95.417771
1.599272,100,95.520315
2.511197,100,95.622347
3.071751,100,95.725252
2.558273,100,95.827639
3.992202,100,95.92996
3.642942,100,96.033313
2.154583,100,96.135641
5.701329,94,96.231327
3.363664,100,96.334668
2.513471,100,118.22781
2.683681,100,118.330036
16.926607,100,118.432215
3.279706,76,118.510187
3.713426,100,118.61232
3.551246,100,118.713773
5.426371,100,118.816159
3.016269,100,118.918616
3.402456,100,119.020991
3.142245,100,119.122769
4.068137,100,119.289093
3.083854,100,119.390381
1.550269,100,119.490728
2.638939,100,119.592476
4.677001,73,119.668408
2.934048,100,119.770478
2.765583,100,119.872842
3.344916,100,119.974692
2.127609,100,120.077157
3.746805,100,120.180071
3.545114,100,142.009911
5.181393,100,142.112759
3.307729,100,142.215137
4.775295,100,142.317666
3.824716,100,142.420196
23.075676,100,142.522329
17.868863,100,142.622339
5.709772,100,142.724471
5.423403,100,142.826828
3.41772,100,142.928205
4.742625,100,143.095681
4.758786,100,143.199025
3.209801,100,143.301298
3.705109,100,143.403304
2.150598,100,143.505112
3.319884,100,143.608804
3.536225,100,143.711123
3.285869,100,143.813207
2.555093,39,143.854025
2.09094,100,143.95833
3.13628,100,144.061575
3.085829,100,166.010799
3.098363,100,166.112323
5.563644,100,166.215149
3.114103,100,166.317337
3.132994,100,166.418571
3.167259,100,166.520993
3.77154,100,166.623029
3.407813,100,166.726103
3.762108,100,166.828896
5.118178,100,166.93191
2.777812,45,167.041535
3.67426,100,167.143969
2.433003,100,167.247371
2.807313,100,167.350093
3.576857,100,167.453161
4.024038,100,167.555828
5.949487,78,167.636074
3.203289,100,167.737803
2.778218,100,167.841315
3.133352,100,167.945015
10.453956,97,168.045096
4.129538,100,190.184159
3.154107,100,190.285822
9.795678,100,190.387506
6.03005,100,190.489815
7.866516,100,190.59176
2.550739,100,190.69401
3.706465,100,190.796909
3.907112,100,190.898831
4.517218,100,191.001912
2.98078,100,191.103695
3.411614,100,191.268701
2.488512,48,191.317704
4.718083,100,191.420554
3.819403,100,191.523803
3.532858,100,191.626258
7.483636,100,191.728373
1.701511,29,191.758569
2.771486,100,191.862286
2.553269,100,191.965689
3.744411,100,192.067191
6.158426,100,192.170097
3.963838,100,214.066745
3.511418,52,214.119959
4.47512,100,214.222769
3.030249,44,214.268452
2.675516,100,214.371105
4.555792,100,214.473457
3.970265,100,214.575023
3.949192,100,214.678229
3.419728,100,214.779938
2.733248,100,214.88282
5.095882,71,214.956393
4.502882,100,215.123019
7.978553,100,215.22585
3.364578,100,215.328631
3.58551,100,215.430545
12.595237,100,215.532706
8.903368,99,215.634456
3.151317,100,215.738447
3.462946,100,215.841758
5.025253,100,215.943725
4.539604,100,216.046803
8.593019,100,237.784731
2.428841,100,237.887333
